Believer Cards ,,,,,
Name,Faction,FP,DP,SKP Cost,Special Ability
Sacred Chalice,3,Restores 1000 FP to your Grace Meter whenever the equipped Believer is attacked.,,,
Book of Scripture,2,Reduces the SKP cost of all your Scriptures by 1 while equipped.,,,
Banner of Light,4,Boosts the FP of all your Believers by 300 while equipped.,,,
Armor of Truth,4,Boosts the DP of the equipped Believer by 800.,,,
Angelic Scepter,5,Allows the equipped Believer to negate one opponent Miracle per turn.,,,
Wings of Grace,3,Grants the equipped Believer immunity to direct attacks.,,,
Chain of Salvation,4,Reduces FP damage to your Grace Meter by 500 per turn.,,,
Orb of Divinity,5,Increases the FP and DP of all your Believers by 200 while active.,,,
Celestial Armor,4,Prevents the equipped Believer from being affected by opponent effects.,,,
Beacon of Hope,3,Draw 1 extra card whenever the equipped Believer destroys another Believer.,,,
Crown of Glory,5,Adds 800 FP to the equipped Believer and restores 500 FP to your Grace Meter each turn.,,,
Shield of the Martyr,4,Transfers all FP damage from direct attacks to the equipped Believer.,,,
Staff of Light,3,Boosts the FP of the equipped Believer by 600 and restores 300 FP to your Grace Meter when attacking directly.,,,
Blade of Justice,5,Boosts the FP of the equipped Believer by 1000 but reduces its DP by 500.,,,
Amulet of Serenity,3,Negates the first Scripture played by the opponent each turn.,,,
Ring of Eternity,4,Prevents the equipped Believer from being sent to the Heavenly Vault for 2 turns after being destroyed.,,,
Pendant of Grace,3,Adds 2 SKP to your pool at the start of your turn while equipped.,,,
Horn of the Seraphim,4,Boosts the FP and DP of all Believers in your Sanctuary by 400 for 2 turns.,,,
Cloak of Sanctity,5,Prevents all damage to the equipped Believer for 2 turns.,,,
Scroll of Wisdom,3,Draw 2 cards when the equipped Believer attacks successfully.,,,
Chain of Purity,4,Blocks one opponent attack per turn against the equipped Believer.,,,
Sword of Sacrifice,5,Grants the equipped Believer +500 FP but destroys it after 3 turns.,,,
Helm of the Divine,3,Grants the equipped Believer +400 DP and prevents its special ability from being negated.,,,
Holy Lantern,2,Restores 500 FP each time the equipped Believer changes its position.,,,
Armor of Grace,4,Prevents the equipped Believer from being targeted by Miracles.,,,
Rod of Judgment,3,Boosts FP of the equipped Believer by 300 and allows it to attack directly once per turn.,,,
Chalice of Redemption,3,Restores 1500 FP when the equipped Believer is destroyed.,,,
Banner of Truth,4,Reduces the cost of all Relics in your hand by 1 SKP.,,,
Staff of Mercy,5,Restores 300 FP to your Grace Meter every time the equipped Believer attacks.,,,
Cloak of Shadows,3,Prevents the equipped Believer from being targeted by Scripture cards.,,,
Radiant Shield,4,Adds 700 DP to the equipped Believer but reduces its FP by 300.,,,
Holy Grail,3,Restores 1000 FP to your Grace Meter each turn while active.,,,
Helm of Glory,5,Grants the equipped Believer immunity to both Miracles and Scriptures.,,,
Sword of Valor,4,Grants the equipped Believer +600 FP and allows it to attack twice per turn.,,,
Wings of Protection,4,Prevents all damage to your Sanctuary for one turn when the equipped Believer is attacked.,,,
Halo of Fortitude,3,Boosts the DP of all your Believers by 300.,,,
Shield of the Seraphim,5,Adds 400 DP to the equipped Believer and blocks all FP damage to your Grace Meter.,,,
Orb of Sanctity,4,Opponent loses 1 SKP every time the equipped Believer is attacked.,,,
Amulet of Faith,3,Restores 500 FP to your Grace Meter whenever the equipped Believer is attacked.,,,
Blade of Eternity,5,The equipped Believer cannot be destroyed by combat and deals an extra 300 FP damage.,,,
Chalice of Light,4,Boosts the FP of all your Believers by 200 when the equipped Believer attacks.,,,
,,,,,
Miracle Cards (50 Total),,,,,
Name,Type,SKP Cost,Effect,,
Heavenly Judgement,Judgment,6,Destroys all enemy Believers.,,
Divine Wrath,Rebuke,5,Reduces opponent’s FP by 2000.,,
Holy Retribution,Judgment,4,Deals 500 FP damage for each Believer in your Preaching Position.,,
Plague of Doubt,Trial,3,Opponent loses 2 SKP during their next turn.,,
Celestial Thunder,Judgment,7,Deals 1500 FP damage to the opponent and destroys one Scripture card.,,
Test of Faith,Trial,5,Prevents the opponent from drawing a card next turn.,,
Divine Intervention,Rebuke,6,Negates any Miracle card and restores 1000 FP.,,
Wrath of the Heavens,Judgment,7,Reduces all enemy Believers’ FP and DP by 800.,,
Sanctified Strike,Rebuke,4,Removes one Relic from the opponent’s equipped Believer.,,
Trial of Sacrifice,Trial,3,Destroys one of your own Believers and adds 3 SKP to your pool.,,
Judgment of Fire,Judgment,6,Destroys all Believers with FP greater than 2000.,,
Voice of God,Rebuke,5,Opponent cannot summon any Believers next turn.,,
Angelic Smite,Judgment,4,Destroys one Believer with FP less than 1500.,,
Flood of Mercy,Trial,3,Restores 2000 FP to both players.,,
Revelation of Light,Rebuke,6,Opponent reveals their hand for the next 2 turns.,,
Divine Aegis,Judgment,5,Prevents all FP damage to you this turn.,,
Trial of Patience,Trial,3,Opponent cannot attack during their next turn.,,
Searing Grace,Judgment,7,Deals 2500 FP damage to the opponent.,,
Angelic Barrage,Judgment,5,Deals 800 FP damage for each of your Believers in Preaching Position.,,
Celestial Punishment,Rebuke,6,Opponent loses 3 SKP next turn.,,
Storm of Faith,Judgment,4,Reduces all Believers’ FP by 500 (both players).,,
Chain of Redemption,Trial,3,Opponent discards one Scripture card.,,
Call to Judgment,Judgment,5,Returns all Believers to their owner’s hands.,,
Heavenly Fire,Judgment,6,Destroys one equipped Relic and deals 500 FP damage.,,
Ascension Trial,Trial,4,Prevents all combat damage for one turn.,,
Angelic Vengeance,Judgment,5,Deals 1200 FP damage to the opponent.,,
Divine Will,Rebuke,6,Negates all damage from a single attack and restores 500 FP.,,
Blaze of Glory,Judgment,7,Destroys all enemy Believers with DP greater than 2000.,,
Trial of Betrayal,Trial,4,Forces one enemy Believer to switch to your side for 2 turns.,,
Sword of Heaven,Judgment,6,Boosts the FP of all your Believers by 300 and allows them to attack directly.,,
Wings of Redemption,Trial,3,Heals 1500 FP and prevents one Believer from being destroyed this turn.,,
Divine Thunder,Judgment,5,Deals 1000 FP damage and negates one Scripture.,,
Sacred Conviction,Rebuke,4,Opponent cannot play any cards during their next Holy Phase.,,
Chain of Trials,Trial,5,Forces the opponent to discard their entire hand.,,
Heavenly Fury,Judgment,7,Deals 3000 FP damage to both players.,,
Shield of Light,Rebuke,5,Prevents all damage to you for the next 2 turns.,,
Cleansing Flames,Judgment,4,Destroys all enemy Relics on the field.,,
Song of Wrath,Judgment,6,Increases the FP of all your Believers by 800 for one turn.,,
Blessing of Angels,Trial,3,Restores 1000 FP and boosts DP of one Believer by 500.,,
Flame of Judgment,Judgment,5,Destroys one enemy Believer and deals 1000 FP damage.,,
Chains of Sorrow,Trial,4,Opponent skips their next Summoning Phase.,,
Voice of Truth,Rebuke,6,Negates all Miracle effects currently in play.,,
Divine Trial,Trial,5,Opponent loses 2 cards from their hand at random.,,
Celestial Awakening,Judgment,7,Returns all your Believers from the Heavenly Vault to the Sanctuary.,,
Grace of Heaven,Trial,4,Restores 3000 FP but disables all your Relics for 2 turns.,,
Call of Angels,Judgment,6,Summons 1 Believer from your hand without using SKP.,,
Trial of Righteousness,Trial,3,Forces the opponent to skip their next Ritual Phase.,,
Sacred Balance,Rebuke,4,Both players shuffle their hands into their decks and redraw.,,
Miracle Cards (50 Total),,,,,
Name,Type,SKP Cost,Effect,,
Heavenly Judgement,Judgment,6,Destroys all enemy Believers.,,
Divine Wrath,Rebuke,5,Reduces opponent’s FP by 2000.,,
Holy Retribution,Judgment,4,Deals 500 FP damage for each Believer in your Preaching Position.,,
Plague of Doubt,Trial,3,Opponent loses 2 SKP during their next turn.,,
Celestial Thunder,Judgment,7,Deals 1500 FP damage to the opponent and destroys one Scripture card.,,
Test of Faith,Trial,5,Prevents the opponent from drawing a card next turn.,,
Divine Intervention,Rebuke,6,Negates any Miracle card and restores 1000 FP.,,
Wrath of the Heavens,Judgment,7,Reduces all enemy Believers’ FP and DP by 800.,,
Sanctified Strike,Rebuke,4,Removes one Relic from the opponent’s equipped Believer.,,
Trial of Sacrifice,Trial,3,Destroys one of your own Believers and adds 3 SKP to your pool.,,
Judgment of Fire,Judgment,6,Destroys all Believers with FP greater than 2000.,,
Voice of God,Rebuke,5,Opponent cannot summon any Believers next turn.,,
Angelic Smite,Judgment,4,Destroys one Believer with FP less than 1500.,,
Flood of Mercy,Trial,3,Restores 2000 FP to both players.,,
Revelation of Light,Rebuke,6,Opponent reveals their hand for the next 2 turns.,,
Divine Aegis,Judgment,5,Prevents all FP damage to you this turn.,,
Trial of Patience,Trial,3,Opponent cannot attack during their next turn.,,
Searing Grace,Judgment,7,Deals 2500 FP damage to the opponent.,,
Angelic Barrage,Judgment,5,Deals 800 FP damage for each of your Believers in Preaching Position.,,
Celestial Punishment,Rebuke,6,Opponent loses 3 SKP next turn.,,
Storm of Faith,Judgment,4,Reduces all Believers’ FP by 500 (both players).,,
Chain of Redemption,Trial,3,Opponent discards one Scripture card.,,
Call to Judgment,Judgment,5,Returns all Believers to their owner’s hands.,,
Heavenly Fire,Judgment,6,Destroys one equipped Relic and deals 500 FP damage.,,
Ascension Trial,Trial,4,Prevents all combat damage for one turn.,,
Angelic Vengeance,Judgment,5,Deals 1200 FP damage to the opponent.,,
Divine Will,Rebuke,6,Negates all damage from a single attack and restores 500 FP.,,
Blaze of Glory,Judgment,7,Destroys all enemy Believers with DP greater than 2000.,,
Trial of Betrayal,Trial,4,Forces one enemy Believer to switch to your side for 2 turns.,,
Sword of Heaven,Judgment,6,Boosts the FP of all your Believers by 300 and allows them to attack directly.,,
Wings of Redemption,Trial,3,Heals 1500 FP and prevents one Believer from being destroyed this turn.,,
Divine Thunder,Judgment,5,Deals 1000 FP damage and negates one Scripture.,,
Sacred Conviction,Rebuke,4,Opponent cannot play any cards during their next Holy Phase.,,
Chain of Trials,Trial,5,Forces the opponent to discard their entire hand.,,
Heavenly Fury,Judgment,7,Deals 3000 FP damage to both players.,,
Shield of Light,Rebuke,5,Prevents all damage to you for the next 2 turns.,,
Cleansing Flames,Judgment,4,Destroys all enemy Relics on the field.,,
Song of Wrath,Judgment,6,Increases the FP of all your Believers by 800 for one turn.,,
Blessing of Angels,Trial,3,Restores 1000 FP and boosts DP of one Believer by 500.,,
Flame of Judgment,Judgment,5,Destroys one enemy Believer and deals 1000 FP damage.,,
Chains of Sorrow,Trial,4,Opponent skips their next Summoning Phase.,,
Voice of Truth,Rebuke,6,Negates all Miracle effects currently in play.,,
Divine Trial,Trial,5,Opponent loses 2 cards from their hand at random.,,
Celestial Awakening,Judgment,7,Returns all your Believers from the Heavenly Vault to the Sanctuary.,,
Grace of Heaven,Trial,4,Restores 3000 FP but disables all your Relics for 2 turns.,,
Call of Angels,Judgment,6,Summons 1 Believer from your hand without using SKP.,,
Trial of Righteousness,Trial,3,Forces the opponent to skip their next Ritual Phase.,,
Sacred Balance,Rebuke,4,Both players shuffle their hands into their decks and redraw.,,
